"","Job","University","Freq"
"331","Indigo"," High School 10 Dnepropetrovsk",0
"332","Iteazer"," High School 10 Dnepropetrovsk",0
"333","Lesoft"," High School 10 Dnepropetrovsk",0
"334","LLC"," High School 10 Dnepropetrovsk",0
"335","Lohika"," High School 10 Dnepropetrovsk",0
"336","Luxoft"," High School 10 Dnepropetrovsk",0
"337","Microsoft"," High School 10 Dnepropetrovsk",0
"338","Mirantis"," High School 10 Dnepropetrovsk",0
"339","MMCIS"," High School 10 Dnepropetrovsk",0
"340","NAS"," High School 10 Dnepropetrovsk",0
"341","NBU"," High School 10 Dnepropetrovsk",0
"342","NefteGaz"," High School 10 Dnepropetrovsk",0
"343","Oracle"," High School 10 Dnepropetrovsk",0
"344","Playtech"," High School 10 Dnepropetrovsk",0
"345","PRISM"," High School 10 Dnepropetrovsk",0
"346","Privat Bank"," High School 10 Dnepropetrovsk",0
"347","ProCredit Bank"," High School 10 Dnepropetrovsk",0
"348","Rvuzov"," High School 10 Dnepropetrovsk",0
"349","Samsung"," High School 10 Dnepropetrovsk",0
"350","SoftServe"," High School 10 Dnepropetrovsk",0
"351","Some"," High School 10 Dnepropetrovsk",0
"352","Taltek"," High School 10 Dnepropetrovsk",0
"353","Tartu"," High School 10 Dnepropetrovsk",0
"354","Terrasoft"," High School 10 Dnepropetrovsk",0
"355","Theorem"," High School 10 Dnepropetrovsk",0
"356","TNS"," High School 10 Dnepropetrovsk",0
"357","Ubisoft"," High School 10 Dnepropetrovsk",0
"358","Viasoft Ltd"," High School 10 Dnepropetrovsk",0
"359","Vlasov"," High School 10 Dnepropetrovsk",0
"360","WinInteractive"," High School 10 Dnepropetrovsk",0
"361","4A Games"," Institude for Nuclear Research",0
"362","Agralp"," Institude for Nuclear Research",0
"363","Akvelon"," Institude for Nuclear Research",0
"364","Alpha Bank"," Institude for Nuclear Research",0.015625
"365","Appko"," Institude for Nuclear Research",0
"366","Ciklum"," Institude for Nuclear Research",0
"367","Cogniance"," Institude for Nuclear Research",0
"368","EPAM"," Institude for Nuclear Research",0
"369","Freelancer"," Institude for Nuclear Research",0
"370","GlobalLogic"," Institude for Nuclear Research",0
"371","Indigo"," Institude for Nuclear Research",0
"372","Iteazer"," Institude for Nuclear Research",0
"373","Lesoft"," Institude for Nuclear Research",0
"374","LLC"," Institude for Nuclear Research",0
"375","Lohika"," Institude for Nuclear Research",0
"376","Luxoft"," Institude for Nuclear Research",0
"377","Microsoft"," Institude for Nuclear Research",0
"378","Mirantis"," Institude for Nuclear Research",0
"379","MMCIS"," Institude for Nuclear Research",0
"380","NAS"," Institude for Nuclear Research",0
"381","NBU"," Institude for Nuclear Research",0
"382","NefteGaz"," Institude for Nuclear Research",0
"383","Oracle"," Institude for Nuclear Research",0
"384","Playtech"," Institude for Nuclear Research",0
"385","PRISM"," Institude for Nuclear Research",0
"386","Privat Bank"," Institude for Nuclear Research",0
"387","ProCredit Bank"," Institude for Nuclear Research",0
"388","Rvuzov"," Institude for Nuclear Research",0
"389","Samsung"," Institude for Nuclear Research",0
"390","SoftServe"," Institude for Nuclear Research",0
"391","Some"," Institude for Nuclear Research",0
"392","Taltek"," Institude for Nuclear Research",0
"393","Tartu"," Institude for Nuclear Research",0
"394","Terrasoft"," Institude for Nuclear Research",0
"395","Theorem"," Institude for Nuclear Research",0
"396","TNS"," Institude for Nuclear Research",0
"397","Ubisoft"," Institude for Nuclear Research",0
"398","Viasoft Ltd"," Institude for Nuclear Research",0
"399","Vlasov"," Institude for Nuclear Research",0
"400","WinInteractive"," Institude for Nuclear Research",0
"401","4A Games"," Institute for Nuclear Research",0
"402","Agralp"," Institute for Nuclear Research",0
"403","Akvelon"," Institute for Nuclear Research",0
"404","Alpha Bank"," Institute for Nuclear Research",0.015625
